Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
4,4,Logan Watterson,Greenville: Greenville / Simpson / California,VT,14.000,4.8,9.200,,,,,2/7/2026,Greenville / California / Simpson,4.8,0.9,0.7
4,1,Nathan Underhill,California: Greenville / Simpson / California,VT,13.150,4.8,8.350,,,,,2/7/2026,Greenville / California / Simpson,4.8,1.7,1.6
4,2,Theodor Roald Gadderud,California: Greenville / Simpson / California,VT,13.700,4.8,8.900,,,,,2/7/2026,Greenville / California / Simpson,4.8,1.0,1.2
4,3,Khalen Curry,California: Greenville / Simpson / California,VT,13.650,4.8,9.150,0.3,,,,2/7/2026,Greenville / California / Simpson,4.8,0.9,0.8
4,4,Jasper Smith-Gordon,California: Greenville / Simpson / California,VT,12.850,4.8,8.050,,,,,2/7/2026,Greenville / California / Simpson,4.8,2.0,1.9
4,1,Noah Doiron,Simpson,VT,13.250,4.4,8.850,,,,,2/7/2026,Greenville / California / Simpson,4.4,1.2,1.1
4,2,Milo Staley,Simpson,VT,13.100,4.4,8.800,0.1,,,,2/7/2026,Greenville / California / Simpson,4.4,1.2,1.2
4,3,Jake Smith,Simpson,VT,13.100,4.4,8.700,,,,,2/7/2026,Greenville / California / Simpson,4.4,1.3,1.3
4,4,Braxton Jones,Simpson,VT,14.450,4.8,9.650,0.1,0.1,,,2/7/2026,Greenville / California / Simpson,4.8,0.3,0.4
5,1,Kyler Hinson,Greenville: Greenville / Simpson / California,PB,13.000,4.4,8.500,,0.1,,,2/7/2026,Greenville / California / Simpson,4.4,1.4,1.6
5,2,Sergey Popov,Greenville: Greenville / Simpson / California,PB,13.150,4.5,8.550,,0.1,,,2/7/2026,Greenville / California / Simpson,4.5,1.5,1.4
5,3,Donovan Diviney,Greenville: Greenville / Simpson / California,PB,12.850,4.5,8.350,,,,,2/7/2026,Greenville / California / Simpson,4.5,1.5,1.8
5,4,Jaxon Clapper,Greenville: Greenville / Simpson / California,PB,13.800,4.9,8.800,,0.1,,,2/7/2026,Greenville / California / Simpson,4.9,1.2,1.2
5,1,Troy Nuesca,California: Greenville / Simpson / California,PB,12.850,4.4,8.450,,,,,2/7/2026,Greenville / California / Simpson,4.4,1.4,1.7
5,2,Tucker Yasunaga,California: Greenville / Simpson / California,PB,12.950,4.4,8.550,,,,,2/7/2026,Greenville / California / Simpson,4.4,1.3,1.6
5,3,Kaien Orion,California: Greenville / Simpson / California,PB,12.450,4.5,7.950,,,,,2/7/2026,Greenville / California / Simpson,4.5,2.1,2.0
5,4,Theodor Roald Gadderud,California: Greenville / Simpson / California,PB,11.200,3.8,7.400,,,,,2/7/2026,Greenville / California / Simpson,3.8,2.7,2.5
5,1,Noah Doiron,Simpson,PB,12.050,3.6,8.450,,,,,2/7/2026,Greenville / California / Simpson,3.6,1.4,1.7
