Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Khalen Curry,California,FX,13.300,4.9,8.300,,0.1,,,3/21/2026,California vs Oklahoma,4.9,1.8,1.6
1,2,Evan Wenstad,California,FX,13.000,4.7,8.300,,,,,3/21/2026,California vs Oklahoma,4.7,1.6,1.8
1,3,Matteo Bardana,California,FX,13.700,4.9,8.800,0.1,0.1,,,3/21/2026,California vs Oklahoma,4.9,1.1,1.3
1,4,Theodor Roald Gadderud,California,FX,13.650,4.9,8.750,,,,,3/21/2026,California vs Oklahoma,4.9,1.3,1.2
1,6,Kaien Orion,California,FX,12.800,4.7,8.100,,,,,3/21/2026,California vs Oklahoma,4.7,2.0,1.8
1,1,Fuzzy Benas,Oklahoma,FX,13.450,5.2,8.250,,,,,3/21/2026,California vs Oklahoma,5.2,1.8,1.7
1,2,Nathan Roman,Oklahoma,FX,12.750,4.8,7.950,,,,,3/21/2026,California vs Oklahoma,4.8,1.9,2.2
1,3,Sasha Bogonosiuk,Oklahoma,FX,13.650,5.3,8.350,,,,,3/21/2026,California vs Oklahoma,5.3,1.7,1.6
1,4,Nico Hamilton,Oklahoma,FX,13.800,5.1,8.700,,,,,3/21/2026,California vs Oklahoma,5.1,1.3,1.3
2,1,Trigg Dudley,California,PH,12.850,4.5,8.350,,,,,3/21/2026,California vs Oklahoma,4.5,1.7,1.6
2,2,Davide Comparin,California,PH,12.400,4.5,7.900,,,,,3/21/2026,California vs Oklahoma,4.5,2.0,2.2
2,3,Jasper Smith-Gordon,California,PH,12.900,4.3,8.600,,,,,3/21/2026,California vs Oklahoma,4.3,1.5,1.3
2,4,Kaien Orion,California,PH,13.400,4.7,8.700,,,,,3/21/2026,California vs Oklahoma,4.7,1.3,1.3
2,5,Matteo Bardana,California,PH,12.000,3.2,8.800,,,,,3/21/2026,California vs Oklahoma,3.2,1.2,1.2
2,1,Ignacio Yockers,Oklahoma,PH,14.450,5.3,9.150,,,,,3/21/2026,California vs Oklahoma,5.3,0.8,0.9
2,2,Mac Seyler,Oklahoma,PH,13.200,4.9,8.300,,,,,3/21/2026,California vs Oklahoma,4.9,1.6,1.8
2,3,Tyler Flores,Oklahoma,PH,14.150,5.1,9.050,,,,,3/21/2026,California vs Oklahoma,5.1,0.9,1.0
2,4,Colby Aranda,Oklahoma,PH,14.500,5.5,9.000,,,,,3/21/2026,California vs Oklahoma,5.5,1.0,1.0
3,1,Troy Nuesca,California,SR,12.700,3.7,9.000,,,,,3/21/2026,California vs Oklahoma,3.7,0.9,1.1
3,2,Nathan Underhill,California,SR,13.100,4.4,8.600,,0.1,,,3/21/2026,California vs Oklahoma,4.4,1.5,1.3
3,3,Matteo Bardana,California,SR,12.550,4.6,7.950,,,,,3/21/2026,California vs Oklahoma,4.6,2.1,2.0
3,4,Jaxon Mitchell,California,SR,13.250,4.9,8.350,,,,,3/21/2026,California vs Oklahoma,4.9,1.5,1.8
3,6,Theodor Roald Gadderud,California,SR,13.100,4.3,8.700,,0.1,,,3/21/2026,California vs Oklahoma,4.3,1.3,1.3
3,1,Nathan Roman,Oklahoma,SR,12.800,3.9,8.800,,0.1,,,3/21/2026,California vs Oklahoma,3.9,1.3,1.1
3,2,Mac Seyler,Oklahoma,SR,13.300,4.6,8.700,,,,,3/21/2026,California vs Oklahoma,4.6,1.4,1.2
