Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D1,D2,E1,E2,E3,E4,E5,E6
4,1,Kellen Ryan,Big Ten Individuals: VT,VT,13.600,4.8,8.900,0.1,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.2,1.1,1.0,1.1,1.3,1.0
4,2,Preston Ngai,Big Ten Individuals: VT,VT,13.950,4.8,9.150,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,0.7,0.8,0.9,0.9,0.8,0.9
4,3,Chase Mondi,Big Ten Individuals: VT,VT,13.425,4.8,8.925,0.3,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.0,1.1,1.3,0.9,1.1,1.1
4,4,Chase Pappas,Michigan: VT,VT,14.150,4.8,9.350,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,0.7,0.8,0.6,0.7,0.6,0.6
4,5,Shaun Smith,Big Ten Individuals: VT,VT,13.975,4.8,9.175,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,0.9,0.8,1.1,0.8,0.8,0.8
4,6,Kristian Grahovski,Ohio State: VT,VT,12.950,4.8,8.250,0.1,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.8,1.8,1.8,1.6,1.7,1.7
4,7,Garrett Schooley,Big Ten Individuals: VT,VT,14.025,5.2,8.925,0.1,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.2,5.2,1.1,1.0,1.3,1.0,0.8,1.2
4,8,Landen Blixt,Michigan: VT,VT,13.375,4.8,8.575,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.3,1.2,1.2,1.6,1.6,1.6
4,9,Luke James,Big Ten Individuals: VT,VT,14.000,4.8,9.200,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,0.8,0.9,0.8,0.8,0.7,0.8
5,1,Sam Phillips,Big Ten Individuals: PB,PB,13.450,4.9,8.550,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,1.5,1.6,1.5,1.2,1.4,1.4
5,2,David Ramirez,Ohio State: PB,PB,13.450,4.9,8.450,,0.1,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,1.4,1.6,1.3,1.7,1.6,1.6
5,3,Caden Clinton,Big Ten Individuals: PB,PB,13.575,4.7,8.875,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.7,4.7,1.2,1.3,1.1,1.1,1.0,1.1
5,4,Solen Chiodi,Michigan: PB,PB,11.750,5.0,6.750,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.0,5.0,3.4,3.3,3.0,3.5,3.2,3.1
5,5,Tate Costa,Big Ten Individuals: PB,PB,11.775,4.7,7.075,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.7,4.7,2.6,2.8,2.5,3.5,3.3,3.0
5,6,Dylan Shepard,Big Ten Individuals: PB,PB,13.200,4.9,8.300,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,2.0,1.6,1.6,1.7,1.8,1.7
5,7,Pierce Wolfgang,Michigan: PB,PB,13.550,4.9,8.650,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,1.3,1.4,1.4,1.3,1.3,1.4
5,8,Jesse Pakele,Ohio State: PB,PB,13.275,4.7,8.575,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.7,4.7,1.4,1.6,1.3,1.5,1.5,1.3
5,9,Nathan York,Big Ten Individuals: PB,PB,14.275,5.2,8.975,,0.1,,Y,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.2,5.2,1.1,1.3,1.1,0.9,0.8,1.0
5,10,Akseli Karsikas,Big Ten Individuals: PB,PB,12.825,4.5,8.325,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.5,4.5,1.7,1.7,1.8,1.5,1.5,1.8
6,1,Max Odden,Big Ten Individuals: HB,HB,11.300,4.2,7.000,,0.1,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.2,4.2,2.8,3.0,2.7,3.2,3.1,3.1
6,2,Drake Andrews,Ohio State: HB,HB,11.650,4.4,7.150,,0.1,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.4,4.4,2.9,2.6,2.8,2.8,2.9,2.9
6,3,Jacob Harmon,Ohio State: HB,HB,11.925,4.1,7.825,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.1,4.1,2.4,2.1,2.4,2.1,1.9,2.1
6,4,Sam Phillips,Big Ten Individuals: HB,HB,13.800,5.6,8.200,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.6,5.6,2.0,1.6,2.2,1.7,1.8,1.7
6,5,Akseli Karsikas,Big Ten Individuals: HB,HB,13.400,4.8,8.600,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.4,1.5,1.0,1.6,1.3,1.4
6,6,Carson Eshleman,Michigan: HB,HB,14.200,5.2,9.000,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.2,5.2,1.0,1.0,1.0,1.0,0.9,1.1
6,7,Hasan Aydogdu,Big Ten Individuals: HB,HB,13.375,5.0,8.375,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.0,5.0,1.8,1.4,1.5,1.6,1.8,1.6
6,8,Alex Nitache,Big Ten Individuals: HB,HB,12.450,5.2,7.250,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.2,5.2,3.2,2.5,2.4,3.0,2.7,2.8
6,9,Kristian Grahovski,Ohio State: HB,HB,13.450,4.9,8.550,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,1.1,1.3,1.5,1.6,1.4,1.8
6,10,Pierce Wolfgang,Michigan: HB,HB,13.800,4.8,9.000,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.0,1.2,1.4,0.9,0.9,0.7
