Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
3,1,Junnosuke Iwai,Stanford,SR,12.500,4.4,8.000,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.4,2.1,1.9
3,2,Asher Hong,Stanford,SR,14.050,5.4,8.650,,,,,2/28/2026,Stanford International Collegiate '26,5.4,1.3,1.4
3,3,David Shamah,Stanford,SR,11.450,3.1,8.550,0.3,0.1,,,2/28/2026,Stanford International Collegiate '26,3.1,1.5,1.4
3,1,Jose Angel Díaz Oropeza,Mexico,SR,10.850,3.1,7.750,,,,,2/28/2026,Stanford International Collegiate '26,3.1,2.3,2.2
3,2,Carlos Damian Solorza Aguirre,Mexico,SR,10.300,3.1,7.100,,0.1,,,2/28/2026,Stanford International Collegiate '26,3.1,3.0,2.8
3,3,Mario Alberto Rojas Quintero,Mexico,SR,12.150,3.9,8.150,,0.1,,,2/28/2026,Stanford International Collegiate '26,3.9,1.9,1.8
3,1,Marcus Pietarinen,Stanford: All Stars,SR,12.500,4.5,8.000,,,,,2/28/2026,Stanford International Collegiate '26,4.5,2.0,2.0
3,2,Divier Ramos-Delgado,Stanford: All Stars,SR,10.600,3.1,7.500,,,,,2/28/2026,Stanford International Collegiate '26,3.1,2.6,2.4
4,1,Kai Uemura,Stanford,VT,13.650,4.4,9.250,,,,,2/28/2026,Stanford International Collegiate '26,4.4,0.8,0.7
4,2,Toma Murakawa,Stanford,VT,13.950,4.8,9.050,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.8,1.0,0.9
4,3,Wade Nelson,Stanford,VT,14.200,4.8,9.400,,,,,2/28/2026,Stanford International Collegiate '26,4.8,0.6,0.6
4,4,Cooper Kim,Stanford,VT,14.350,4.8,9.550,,,,,2/28/2026,Stanford International Collegiate '26,4.8,0.4,0.5
4,1,Harry Kim,California,VT,13.750,4.4,9.350,,,,,2/28/2026,Stanford International Collegiate '26,4.4,0.7,0.6
4,2,Khalen Curry,California,VT,13.300,4.8,8.800,0.3,,,,2/28/2026,Stanford International Collegiate '26,4.8,1.1,1.3
4,3,Nathan Underhill,California,VT,13.050,4.8,8.350,0.1,,,,2/28/2026,Stanford International Collegiate '26,4.8,1.7,1.6
4,4,Jasper Smith-Gordon,California,VT,14.150,5.2,9.050,0.1,,,,2/28/2026,Stanford International Collegiate '26,5.2,0.8,1.1
4,5,Matteo Bardana,California,VT,13.150,4.4,8.850,0.1,,,,2/28/2026,Stanford International Collegiate '26,4.4,1.1,1.2
4,1,Asher Hong,Stanford,VT,14.000,4.8,9.200,,,,,2/28/2026,Stanford International Collegiate '26,4.8,0.7,0.9
4,2,David Shamah,Stanford,VT,13.200,4.8,8.400,,,,,2/28/2026,Stanford International Collegiate '26,4.8,1.7,1.5
4,3,Junnosuke Iwai,Stanford,VT,14.200,4.8,9.400,,,,,2/28/2026,Stanford International Collegiate '26,4.8,0.6,0.6
4,1,Jose Angel Díaz Oropeza,Mexico,VT,13.450,4.0,9.350,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.0,0.7,0.6
4,2,Mario Alberto Rojas Quintero,Mexico,VT,13.350,4.4,8.950,,,,,2/28/2026,Stanford International Collegiate '26,4.4,0.9,1.2
4,3,Juan David Hernández Díaz,Mexico,VT,13.400,4.4,9.100,0.1,,,,2/28/2026,Stanford International Collegiate '26,4.4,0.8,1.0
4,1,Marcus Pietarinen,Stanford: All Stars,VT,13.750,4.8,9.050,0.1,,,,2/28/2026,Stanford International Collegiate '26,4.8,0.9,1.0
5,1,Zachary Green,Stanford,PB,14.000,5.2,8.800,,,,,2/28/2026,Stanford International Collegiate '26,5.2,1.2,1.2
5,2,Kiran Mandava,Stanford,PB,12.800,4.1,8.700,,,,,2/28/2026,Stanford International Collegiate '26,4.1,1.3,1.3
5,3,Reece Landsperger,Stanford,PB,14.250,5.3,8.950,,,,,2/28/2026,Stanford International Collegiate '26,5.3,1.0,1.1
5,4,Arun Chhetri,Stanford,PB,14.450,5.3,9.150,,,,,2/28/2026,Stanford International Collegiate '26,5.3,0.9,0.8
5,1,Tucker Yasunaga,California,PB,12.400,4.4,8.000,,,,,2/28/2026,Stanford International Collegiate '26,4.4,2.1,1.9
5,2,Troy Nuesca,California,PB,12.450,4.4,8.050,,,,,2/28/2026,Stanford International Collegiate '26,4.4,1.8,2.1
5,3,Matteo Bardana,California,PB,13.900,4.7,9.200,,,,,2/28/2026,Stanford International Collegiate '26,4.7,0.8,0.8
5,4,Brendan Strom,California,PB,13.900,4.5,9.300,,0.1,,Y,2/28/2026,Stanford International Collegiate '26,4.5,0.7,0.7
5,1,Junnosuke Iwai,Stanford,PB,12.800,5.0,7.800,,,,,2/28/2026,Stanford International Collegiate '26,5.0,2.1,2.3
5,2,Asher Hong,Stanford,PB,14.150,5.0,9.050,,0.1,,,2/28/2026,Stanford International Collegiate '26,5.0,1.0,0.9
5,3,David Shamah,Stanford,PB,13.700,5.5,8.200,,,,,2/28/2026,Stanford International Collegiate '26,5.5,1.7,1.9
5,1,Javier Francisco Rojo,Mexico,PB,12.200,4.2,8.000,,,,Y,2/28/2026,Stanford International Collegiate '26,4.2,2.0,2.0
5,2,Antonio Johannan Wong Gutierrez,Mexico,PB,10.100,3.2,6.900,,,,,2/28/2026,Stanford International Collegiate '26,3.2,3.0,3.2
5,3,Mario Alberto Rojas Quintero,Mexico,PB,12.650,5.0,7.650,,,,,2/28/2026,Stanford International Collegiate '26,5.0,2.4,2.3
5,5,Jose Angel Díaz Oropeza,Mexico,PB,12.000,3.7,8.300,,,,,2/28/2026,Stanford International Collegiate '26,3.7,1.6,1.8
5,1,Marcus Pietarinen,Stanford: All Stars,PB,12.150,4.8,7.350,,,,,2/28/2026,Stanford International Collegiate '26,4.8,2.5,2.8
5,2,Divier Ramos-Delgado,Stanford: All Stars,PB,11.050,4.1,6.950,,,,,2/28/2026,Stanford International Collegiate '26,4.1,3.1,3.0
5,3,Evan Hymanson,All Stars: All Stars,PB,12.600,4.8,7.800,,,,,2/28/2026,Stanford International Collegiate '26,4.8,2.2,2.2
5,4,Colt Walker,All Stars: All Stars,PB,14.300,5.4,8.900,,,,,2/28/2026,Stanford International Collegiate '26,5.4,1.0,1.2
6,1,Nick Kuebler,Stanford,HB,14.200,5.1,9.000,,0.1,,,2/28/2026,Stanford International Collegiate '26,5.1,0.9,1.1
6,2,Cooper Kim,Stanford,HB,13.900,5.3,8.600,,,,,2/28/2026,Stanford International Collegiate '26,5.3,1.5,1.3
6,3,Wade Nelson,Stanford,HB,11.850,4.3,7.550,,,,,2/28/2026,Stanford International Collegiate '26,4.3,2.3,2.6
6,4,Zachary Green,Stanford,HB,13.900,5.3,8.600,,,,,2/28/2026,Stanford International Collegiate '26,5.3,1.3,1.5
6,1,Jaxon Mitchell,California,HB,12.700,4.4,8.300,,,,,2/28/2026,Stanford International Collegiate '26,4.4,1.6,1.8
6,2,Troy Nuesca,California,HB,13.350,4.3,8.950,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.3,1.0,1.1
6,3,Tucker Yasunaga,California,HB,13.550,4.3,9.250,,,,,2/28/2026,Stanford International Collegiate '26,4.3,0.7,0.8
6,4,Matteo Bardana,California,HB,13.350,4.5,8.750,,0.1,,Y,2/28/2026,Stanford International Collegiate '26,4.5,1.2,1.3
6,1,Asher Hong,Stanford,HB,13.200,5.2,8.000,,,,Y,2/28/2026,Stanford International Collegiate '26,5.2,1.9,2.1
6,2,Junnosuke Iwai,Stanford,HB,12.750,4.7,8.050,,,,Y,2/28/2026,Stanford International Collegiate '26,4.7,1.9,2.0
6,3,David Shamah,Stanford,HB,12.500,3.8,8.700,,,,,2/28/2026,Stanford International Collegiate '26,3.8,1.4,1.2
6,5,Taylor Burkhart,USA,HB,12.350,4.9,7.450,,,,,2/28/2026,Stanford International Collegiate '26,4.9,2.6,2.5
6,1,Jose Angel Díaz Oropeza,Mexico,HB,11.350,3.5,7.850,,,,,2/28/2026,Stanford International Collegiate '26,3.5,2.0,2.3
6,2,Javier Francisco Rojo,Mexico,HB,12.250,4.2,8.050,,,,,2/28/2026,Stanford International Collegiate '26,4.2,1.8,2.1
6,3,Mario Alberto Rojas Quintero,Mexico,HB,11.850,3.8,8.050,,,,,2/28/2026,Stanford International Collegiate '26,3.8,1.9,2.0
6,1,Marcus Pietarinen,Stanford: All Stars,HB,13.600,4.7,8.900,,,,,2/28/2026,Stanford International Collegiate '26,4.7,1.1,1.1
6,2,Divier Ramos-Delgado,Stanford: All Stars,HB,12.500,3.5,9.000,,,,,2/28/2026,Stanford International Collegiate '26,3.5,0.9,1.1
6,3,Evan Hymanson,All Stars: All Stars,HB,12.200,4.6,7.500,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.6,2.5,2.5
