MEET_DATE,MEET_NAME,MEET_LOCATION,SCORE_SITE,SESSION_ID,SCORE_URL,DISCIPLINE,EXPORT_STATUS,EXPORT_FILENAME,EXPORT_TIMESTAMP,EXPORT_MESSAGE
2026-04-18 16:00:00,NCAA '26: National Championship,"Dickies Arena, Fort Worth, TX",Virtius,MFrZ9epozB,https://virti.us/session?s=MFrZ9epozB,WAG,EXPORTED,20260418_V_MFrZ9epozB_WAG_NCAA26NationalChampionship.csv,2026-04-19 12:31:51,
2026-04-16 21:00:00,NCAA '26: Semifinal II,"Dickies Arena, Fort Worth, TX",Virtius,DdUgp5b9ce,https://virti.us/session?s=DdUgp5b9ce,WAG,EXPORTED,20260416_V_DdUgp5b9ce_WAG_NCAA26SemifinalII.csv,2026-04-19 12:31:56,
2026-04-16 16:30:00,NCAA '26: Semifinal I,"Dickies Arena, Fort Worth, TX",Virtius,wWUOt3bvBX,https://virti.us/session?s=wWUOt3bvBX,WAG,EXPORTED,20260416_V_wWUOt3bvBX_WAG_NCAA26SemifinalI.csv,2026-04-19 12:32:01,
2026-04-05 20:00:00,NCAA Regional '26 @ Oregon State: Final,"Gill Coliseum, Corvallis, OR",Virtius,5x98j5g2VO,https://virti.us/session?s=5x98j5g2VO,WAG,EXPORTED,20260405_V_5x98j5g2VO_WAG_NCAARegional26OregonStateFinal.csv,2026-04-19 12:32:05,
2026-04-05 17:00:00,NCAA Regional '26 @ Kentucky: Final,"Historic Memorial Coliseum, Lexington, KY",Virtius,tBd8CrXBoV,https://virti.us/session?s=tBd8CrXBoV,WAG,EXPORTED,20260405_V_tBd8CrXBoV_WAG_NCAARegional26KentuckyFinal.csv,2026-04-19 12:32:11,
2026-04-04 20:00:00,Big Ten Championships '26 @ Nebraska: Event Finals,"Pinnacle Bank Arena, Lincoln, NE",Virtius,_gu8nKF18O,https://virti.us/session?s=_gu8nKF18O,MAG,EXPORTED,20260404_V__gu8nKF18O_MAG_BigTenChampionships26NebraskaEventFinals.csv,2026-04-19 12:32:20,
2026-04-04 20:00:00,NCAA Regional '26 @ Arizona State: Final,"Desert Financial Arena, Tempe, AZ",Virtius,Hv9bKIh1xf,https://virti.us/session?s=Hv9bKIh1xf,WAG,EXPORTED,20260404_V_Hv9bKIh1xf_WAG_NCAARegional26ArizonaStateFinal.csv,2026-04-19 12:32:15,
2026-04-04 19:00:00,MPSF Championships 2026,"Haas Pavilion, Berkeley, CA",Virtius,nQ1Sxn-8jP,https://virti.us/session?s=nQ1Sxn-8jP,MAG,EXPORTED,20260404_V_nQ1Sxn-8jP_MAG_MPSFChampionships2026.csv,2026-04-19 12:32:25,
2026-04-04 18:00:00,NCAA Regional '26 @ LSU: Final,"Pete Maravich Assembly Center, Baton Rouge, LA",Virtius,LJevA_TmY6,https://virti.us/session?s=LJevA_TmY6,WAG,EXPORTED,20260404_V_LJevA_TmY6_WAG_NCAARegional26LSUFinal.csv,2026-04-19 12:32:30,
2026-04-04 13:00:00,ECAC Championships '26,"Gross Center, West Point, NY",Virtius,3mwftyC216,https://virti.us/session?s=3mwftyC216,MAG,EXPORTED,20260404_V_3mwftyC216_MAG_ECACChampionships26.csv,2026-04-19 12:32:36,
2026-04-03 22:00:00,NCAA Regional '26 @ Oregon State: Second Round #2,"Gill Coliseum, Corvallis, OR",Virtius,kAxFuxrCrO,https://virti.us/session?s=kAxFuxrCrO,WAG,EXPORTED,20260403_V_kAxFuxrCrO_WAG_NCAARegional26OregonStateSecondRound2.csv,2026-04-19 12:32:41,
2026-04-03 20:00:00,Big Ten Championships '26 @ Nebraska: Team Finals,"Pinnacle Bank Arena, Lincoln, NE",Virtius,RFPaUMObrk,https://virti.us/session?s=RFPaUMObrk,MAG,EXPORTED,20260403_V_RFPaUMObrk_MAG_BigTenChampionships26NebraskaTeamFinals.csv,2026-04-19 12:32:46,
2026-04-03 19:00:00,NCAA Regional '26 @ Kentucky: Second Round #2,"Historic Memorial Coliseum, Lexington, KY",Virtius,NeFY2MLCKQ,https://virti.us/session?s=NeFY2MLCKQ,WAG,EXPORTED,20260403_V_NeFY2MLCKQ_WAG_NCAARegional26KentuckySecondRound2.csv,2026-04-19 12:32:51,
