meet_date,meet_name,score_site,session_id,score_url,is_wag,export_status,export_filename,export_date,export_message
2026-01-30 18:00,Kentucky vs Oklahoma,Virtius,rIKiGhEwTu,https://virti.us/session?s=rIKiGhEwTu,true,NOT_PROCESSED,,,
2026-01-29 18:00,Eastern Michigan vs Wilberforce,Virtius,TmEJFvtrrj,https://virti.us/session?s=TmEJFvtrrj,true,NOT_PROCESSED,,,
2026-01-27 18:00,Cornell vs Bowling Green,Virtius,qmPRCyXVno,https://virti.us/session?s=qmPRCyXVno,true,NOT_PROCESSED,,,
2026-01-27 18:00,Yale vs UNH,Virtius,qfY-3z4JlQ,https://virti.us/session?s=qfY-3z4JlQ,true,NOT_PROCESSED,,,
2026-01-25 17:00,Stanford vs Clemson,Virtius,EpOqKhlHNb,https://virti.us/session?s=EpOqKhlHNb,true,NOT_PROCESSED,,,
2026-01-25 17:00,Iowa State vs Utah,Virtius,aQpOB41ThF,https://virti.us/session?s=aQpOB41ThF,true,NOT_PROCESSED,,,
2026-01-25 16:00,Oregon State vs Utah State,Virtius,AlHNJ9aEOB,https://virti.us/session?s=AlHNJ9aEOB,true,NOT_PROCESSED,,,
2026-01-25 13:00,Michigan State vs UCLA,Virtius,y_wp7CWqKE,https://virti.us/session?s=y_wp7CWqKE,true,NOT_PROCESSED,,,
2026-01-24 22:00,Stanford / California / Ohio State (Stanford Open '26),Virtius,n9CUc1R-5i,https://virti.us/session?s=n9CUc1R-5i,false,NOT_PROCESSED,,,
2026-01-24 19:00,California vs NC State,Virtius,p4AUFPAq9w,https://virti.us/session?s=p4AUFPAq9w,true,NOT_PROCESSED,,,
2026-01-24 18:00,CMU vs Illinois State,Virtius,s0vLaGw5e3,https://virti.us/session?s=s0vLaGw5e3,true,NOT_PROCESSED,,,
2026-01-24 17:00,Bridgeport / Brown / LIU / Springfield,Virtius,0kp_rjcy0W,https://virti.us/session?s=0kp_rjcy0W,true,NOT_PROCESSED,,,
2026-01-24 16:00,Nebraska vs Minnesota,Virtius,mWUmnwdPpz,https://virti.us/session?s=mWUmnwdPpz,true,NOT_PROCESSED,,,
2026-01-24 16:00,WVU vs Denver,Virtius,_62BQZiChE,https://virti.us/session?s=_62BQZiChE,true,NOT_PROCESSED,,,
2026-01-24 15:45,Michigan vs Iowa,Virtius,zoUUOwf54j,https://virti.us/session?s=zoUUOwf54j,true,NOT_PROCESSED,,,
2026-01-24 15:00,Simpson vs UWL,Virtius,a6F3ocABAY,https://virti.us/session?s=a6F3ocABAY,true,NOT_PROCESSED,,,
2026-01-24 15:00,NIU vs Ball State,Virtius,TvtIxfvGzz,https://virti.us/session?s=TvtIxfvGzz,true,NOT_PROCESSED,,,
2026-01-24 14:00,Michigan vs Oklahoma,Virtius,ZgZc5RvZkp,https://virti.us/session?s=ZgZc5RvZkp,false,NOT_PROCESSED,,,
2026-01-24 13:00,Penn State vs Maryland,Virtius,K0LSEFxP9F,https://virti.us/session?s=K0LSEFxP9F,true,NOT_PROCESSED,,,
2026-01-24 12:30,West Chester vs William & Mary,Virtius,d8b1GECr3c,https://virti.us/session?s=d8b1GECr3c,true,NOT_PROCESSED,,,
2026-01-23 21:30,Washington vs Rutgers,Virtius,1t-Tp7y7H1,https://virti.us/session?s=1t-Tp7y7H1,true,NOT_PROCESSED,,,
2026-01-23 21:00,Arizona State vs BYU,Virtius,PIAv4WdUrN,https://virti.us/session?s=PIAv4WdUrN,true,NOT_PROCESSED,,,
2026-01-23 21:00,Air Force / Kent State / Eastern Michigan / Boise State,Virtius,oIGnf3aWYd,https://virti.us/session?s=oIGnf3aWYd,true,NOT_PROCESSED,,,
2026-01-23 20:45,Auburn vs Florida,Virtius,2xQJ5DbATf,https://virti.us/session?s=2xQJ5DbATf,true,NOT_PROCESSED,,,
2026-01-23 20:00,Arizona vs Towson,Virtius,gHJjxIybgG,https://virti.us/session?s=gHJjxIybgG,true,NOT_PROCESSED,,,
2026-01-23 19:30,LSU vs Kentucky,Virtius,v70RnqTKph,https://virti.us/session?s=v70RnqTKph,true,NOT_PROCESSED,,,
2026-01-23 19:30,Hamline vs UW-Eau Claire,Virtius,e2LWxAxM4D,https://virti.us/session?s=e2LWxAxM4D,true,NOT_PROCESSED,,,
2026-01-23 19:30,Alabama vs Missouri,Virtius,hWlTqsQWPZ,https://virti.us/session?s=hWlTqsQWPZ,true,NOT_PROCESSED,,,
2026-01-23 19:00,Gustavus vs UW-Oshkosh,Virtius,xcCsbBVbuj,https://virti.us/session?s=xcCsbBVbuj,true,NOT_PROCESSED,,,
2026-01-23 19:00,Winona State vs UW-Stout,Virtius,MMjz4epffl,https://virti.us/session?s=MMjz4epffl,true,NOT_PROCESSED,,,
2026-01-23 18:45,UNC vs Pitt,Virtius,FOVYZjX16j,https://virti.us/session?s=FOVYZjX16j,true,NOT_PROCESSED,,,
2026-01-23 18:00,Temple / GW / TWU / Penn,Virtius,Vlx4JpcKXy,https://virti.us/session?s=Vlx4JpcKXy,true,NOT_PROCESSED,,,
2026-01-23 18:00,Utica vs Cortland,Virtius,2mApQ0-gFS,https://virti.us/session?s=2mApQ0-gFS,true,NOT_PROCESSED,,,
2026-01-23 15:00,Oklahoma vs Georgia,Virtius,7qxSZapd--,https://virti.us/session?s=7qxSZapd--,true,NOT_PROCESSED,,,
2026-01-23 14:00,Arkansas vs SEMO,Virtius,KGfuOo4YTu,https://virti.us/session?s=KGfuOo4YTu,true,NOT_PROCESSED,,,
2026-01-18 17:45,Arkansas vs Auburn,Virtius,3bgpsILyO1,https://virti.us/session?s=3bgpsILyO1,true,NOT_PROCESSED,,,
2026-01-18 17:00,UC Davis vs San Jose State,Virtius,qodSexWFZH,https://virti.us/session?s=qodSexWFZH,true,NOT_PROCESSED,,,
2026-01-18 16:00,Pitt vs California,Virtius,cjb8NV57va,https://virti.us/session?s=cjb8NV57va,true,NOT_PROCESSED,,,
2026-01-18 15:45,UNC vs Stanford,Virtius,Gh9PAmwdZ4,https://virti.us/session?s=Gh9PAmwdZ4,true,NOT_PROCESSED,,,
2026-01-18 15:00,Illinois State vs Centenary,Virtius,gxdXjVMD3w,https://virti.us/session?s=gxdXjVMD3w,true,NOT_PROCESSED,,,
2026-01-18 14:00,UNH / Air Force / Bridgeport / Iowa State,Virtius,C3uv3h30_5,https://virti.us/session?s=C3uv3h30_5,true,NOT_PROCESSED,,,
2026-01-18 14:00,CMU vs Western Michigan,Virtius,znQnrta6LJ,https://virti.us/session?s=znQnrta6LJ,true,NOT_PROCESSED,,,
2026-01-18 13:00,Ithaca vs Ursinus,Virtius,zq6oMm5tSP,https://virti.us/session?s=zq6oMm5tSP,true,NOT_PROCESSED,,,
2026-01-18 13:00,GW / Cornell / Penn / West Chester,Virtius,q5nv2TSvMg,https://virti.us/session?s=q5nv2TSvMg,true,NOT_PROCESSED,,,
2026-01-18 13:00,Kent State / Fisk / WVU,Virtius,EHciV5q2lV,https://virti.us/session?s=EHciV5q2lV,true,NOT_PROCESSED,,,
2026-01-18 13:00,Ball State vs Bowling Green,Virtius,ezmvitnAO-,https://virti.us/session?s=ezmvitnAO-,true,NOT_PROCESSED,,,
2026-01-18 13:00,Yale vs Brown,Virtius,movv9e95zQ,https://virti.us/session?s=movv9e95zQ,true,NOT_PROCESSED,,,
2026-01-17 19:30,Maryland vs Washington,Virtius,3EIc9F_0Qt,https://virti.us/session?s=3EIc9F_0Qt,true,NOT_PROCESSED,,,
2026-01-17 18:00,UCLA vs Nebraska,Virtius,p4OyNaVP3X,https://virti.us/session?s=p4OyNaVP3X,true,NOT_PROCESSED,,,
2026-01-17 17:00,Minnesota vs Michigan,Virtius,S1WhKhcrIK,https://virti.us/session?s=S1WhKhcrIK,true,NOT_PROCESSED,,,
2026-01-17 16:00,Eastern Michigan / Brockport / NIU,Virtius,sgE3665OGb,https://virti.us/session?s=sgE3665OGb,true,NOT_PROCESSED,,,
2026-01-17 16:00,Rutgers vs Ohio State,Virtius,PqN7VI3cO2,https://virti.us/session?s=PqN7VI3cO2,true,NOT_PROCESSED,,,
2026-01-17 16:00,NC State vs Clemson,Virtius,lJgguzvWFL,https://virti.us/session?s=lJgguzvWFL,true,NOT_PROCESSED,,,
2026-01-17 15:00,Simpson vs UW-Whitewater,Virtius,lKolKihFpY,https://virti.us/session?s=lKolKihFpY,true,NOT_PROCESSED,,,
2026-01-17 15:00,Temple vs LIU,Virtius,QdLvm4xXZC,https://virti.us/session?s=QdLvm4xXZC,true,NOT_PROCESSED,,,
2026-01-17 13:00,SCSU / Springfield / RIC / Utica,Virtius,jQYvr_zTk3,https://virti.us/session?s=jQYvr_zTk3,true,NOT_PROCESSED,,,
2026-01-16 22:00,Oregon State vs Sac State,Virtius,RRQ1hl52va,https://virti.us/session?s=RRQ1hl52va,true,NOT_PROCESSED,,,
2026-01-16 21:00,BYU vs Boise State,Virtius,xCn4y8_yF5,https://virti.us/session?s=xCn4y8_yF5,true,NOT_PROCESSED,,,
2026-01-16 20:45,Missouri vs Oklahoma,Virtius,Z_n4ZCP9Py,https://virti.us/session?s=Z_n4ZCP9Py,true,NOT_PROCESSED,,,
2026-01-16 20:00,TWU / Denver / Arizona,Virtius,Uz18zwzKAu,https://virti.us/session?s=Uz18zwzKAu,true,NOT_PROCESSED,,,
2026-01-16 19:00,Kentucky vs Arizona State,Virtius,BnlbPhlqly,https://virti.us/session?s=BnlbPhlqly,true,NOT_PROCESSED,,,
2026-01-16 19:00,Georgia vs LSU,Virtius,XPdBl6na3C,https://virti.us/session?s=XPdBl6na3C,true,NOT_PROCESSED,,,
2026-01-16 18:45,Florida vs Alabama,Virtius,BfO-LkCWGw,https://virti.us/session?s=BfO-LkCWGw,true,NOT_PROCESSED,,,
2026-01-16 18:30,Winona State / UW-Eau Claire / Gustavus,Virtius,eB7LzeNQKN,https://virti.us/session?s=eB7LzeNQKN,true,NOT_PROCESSED,,,
2026-01-16 18:30,UWL vs Greenville,Virtius,wC7o4lhNKi,https://virti.us/session?s=wC7o4lhNKi,true,NOT_PROCESSED,,,
2026-01-15 19:00,UW-Oshkosh vs Hamline,Virtius,0w84o2yzHw,https://virti.us/session?s=0w84o2yzHw,true,NOT_PROCESSED,,,
2026-01-12 21:00,Best of Utah 2026,Virtius,C1XuuEGIIF,https://virti.us/session?s=C1XuuEGIIF,true,NOT_PROCESSED,,,
2026-01-11 16:00,Arizona State / San Jose State / UC Davis,Virtius,TQsCxDPuKE,https://virti.us/session?s=TQsCxDPuKE,true,NOT_PROCESSED,,,
2026-01-11 16:00,Hamline vs Simpson,Virtius,-FFAeJ8vaC,https://virti.us/session?s=-FFAeJ8vaC,true,NOT_PROCESSED,,,
2026-01-11 15:45,Denver vs Stanford,Virtius,tuj7tgbFwx,https://virti.us/session?s=tuj7tgbFwx,true,NOT_PROCESSED,,,
2026-01-11 15:00,TWU vs Pitt,Virtius,QbIOH2dXst,https://virti.us/session?s=QbIOH2dXst,true,NOT_PROCESSED,,,
2026-01-11 15:00,Bulldog Invitational 2026,Virtius,Tse12AvA1p,https://virti.us/session?s=Tse12AvA1p,true,NOT_PROCESSED,,,
2026-01-11 14:00,Bowling Green vs Eastern Michigan,Virtius,jFNzPhrWp1,https://virti.us/session?s=jFNzPhrWp1,true,NOT_PROCESSED,,,
2026-01-11 14:00,Penn State vs Yale,Virtius,z8DSIiqhk-,https://virti.us/session?s=z8DSIiqhk-,true,NOT_PROCESSED,,,
2026-01-11 14:00,Brown / RIC / SCSU / Springfield,Virtius,xJb_VEoFHQ,https://virti.us/session?s=xJb_VEoFHQ,true,NOT_PROCESSED,,,
2026-01-11 14:00,Penn State vs Army,Virtius,CX58de6xTX,https://virti.us/session?s=CX58de6xTX,false,NOT_PROCESSED,,,
2026-01-11 13:00,Ursinus vs Cortland,Virtius,_OyIV1edEW,https://virti.us/session?s=_OyIV1edEW,true,NOT_PROCESSED,,,
2026-01-11 13:00,Ball State / Rutgers / Western Michigan,Virtius,0hP9J2yfFV,https://virti.us/session?s=0hP9J2yfFV,true,NOT_PROCESSED,,,
2026-01-11 13:00,Cornell / Penn / Bridgeport,Virtius,Pu24zUq8VZ,https://virti.us/session?s=Pu24zUq8VZ,true,NOT_PROCESSED,,,
2026-01-11 13:00,Kent State vs Northern Illinois,Virtius,rx23A0UWi3,https://virti.us/session?s=rx23A0UWi3,true,NOT_PROCESSED,,,
2026-01-10 20:00,Sprouts Farmers Market Collegiate Quad: Session 2,Virtius,XVk5MDQ1Kk,https://virti.us/session?s=XVk5MDQ1Kk,true,NOT_PROCESSED,,,
2026-01-10 17:00,Minnesota vs Arkansas,Virtius,v6tVe991Ne,https://virti.us/session?s=v6tVe991Ne,true,NOT_PROCESSED,,,
2026-01-10 16:00,Sprouts Farmers Market Collegiate Quad: Session 1,Virtius,9WRjkzZznl,https://virti.us/session?s=9WRjkzZznl,true,NOT_PROCESSED,,,
