Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
4,1,Will Wilson,Springfield,VT,13.400,4.4,9.000,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.0,1.0
4,2,Joshua Szitanko,Springfield,VT,13.350,4.4,8.950,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.1,1.0
4,3,Michael Dalton,Springfield,VT,13.450,4.4,9.050,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.0,0.9
4,4,Evan Reichert,Springfield,VT,13.600,4.4,9.200,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,0.8,0.8
4,1,Ronan Sebold,Arizona State,VT,13.700,4.4,9.200,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,0.9,0.7
4,2,Brendan Friele,Arizona State,VT,13.250,4.4,8.850,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.0,1.3
4,3,Izaiha Mlay,Arizona State,VT,13.900,4.8,9.200,0.1,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,0.8,0.8
4,4,Hunter Flechsig,Arizona State,VT,13.700,4.8,9.000,0.1,,,,2/14/2026,Michigan / Springfield / Arizona State,4.8,1.0,1.0
5,1,Pierce Wolfgang,Michigan,PB,12.100,4.4,7.700,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,2.4,2.2
5,2,Eli Osuna,Michigan,PB,12.850,4.0,8.850,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.0,1.3,1.0
5,3,Landen Blixt,Michigan,PB,12.950,4.4,8.550,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.5,1.4
5,4,Adam Lakomy,Michigan,PB,12.000,4.1,7.900,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.1,2.0,2.2
5,1,Joshua Szitanko,Springfield,PB,12.000,2.9,9.100,,,,,2/14/2026,Michigan / Springfield / Arizona State,2.9,1.0,0.8
5,2,Blaise Rousseau,Springfield,PB,13.000,4.4,8.600,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.4,1.4
5,3,Brian Delf,Springfield,PB,12.800,3.6,9.200,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.6,0.9,0.7
5,4,Devon Felsenstein,Springfield,PB,12.350,2.9,9.350,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,2.9,0.6,0.7
5,1,William Howard,Arizona State,PB,12.950,4.0,8.950,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.0,1.1,1.0
5,2,"Samuel Walker, Jr",Arizona State,PB,11.800,4.0,7.800,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.0,2.3,2.1
5,3,Izaiha Mlay,Arizona State,PB,12.500,3.6,8.900,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.6,1.1,1.1
5,4,Elliot Foster,Arizona State,PB,13.550,4.9,8.650,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.9,1.3,1.4
6,1,Robert Noll,Michigan,HB,13.900,4.9,9.000,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.9,0.9,1.1
6,2,Eli Osuna,Michigan,HB,12.200,4.3,7.900,,,Y,Y,2/14/2026,Michigan / Springfield / Arizona State,4.3,1.9,2.3
6,3,Carson Eshleman,Michigan,HB,14.200,5.7,8.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,5.7,1.4,1.6
6,4,Landen Blixt,Michigan,HB,13.000,5.2,7.800,,,,,2/14/2026,Michigan / Springfield / Arizona State,5.2,2.0,2.4
6,1,Will Wilson,Springfield,HB,11.800,3.2,8.600,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.2,1.2,1.6
6,2,Cameron Rhymes,Springfield,HB,11.800,3.8,7.900,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,3.8,2.1,2.1
6,3,Kaleb Palacio,Springfield,HB,12.350,3.4,8.850,,0.1,,,2/14/2026,Michigan / Springfield / Arizona State,3.4,1.1,1.2
6,4,Blaise Rousseau,Springfield,HB,11.700,3.1,8.600,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.1,1.3,1.5
6,1,Hunter Flechsig,Arizona State,HB,11.000,3.9,7.100,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.9,3.0,2.8
6,2,Khamaree Thomas,Arizona State,HB,11.400,3.9,7.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,3.9,2.4,2.6
6,3,Izaiha Mlay,Arizona State,HB,12.500,4.0,8.500,,,,,2/14/2026,Michigan / Springfield / Arizona State,4.0,1.5,1.5
6,4,Elliot Foster,Arizona State,HB,12.800,4.4,8.300,,0.1,Y,,2/14/2026,Michigan / Springfield / Arizona State,4.4,1.6,1.8
